No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3},,,,,,,,,
158,20:00 12/11/2019,6.496,-7989.0631,-7976.0137,322.9393,237.8224,-7999.0882,-7992.8159,-7727.2511,206.4217,,,,,,,,,
159,21:00 12/11/2019,0.0,-9999.0,-9999.0,259.3884,199.1182,-9999.0,-9999.0,-9999.0,174.8409,,,,,,,,,
160,22:00 12/11/2019,0.0,-9999.0,-9999.0,245.7363,194.4225,-9999.0,-9999.0,-9999.0,171.7425,,,,,,,,,
161,23:00 12/11/2019,0.0,-9999.0,-9999.0,199.1699,161.7308,-9999.0,-9999.0,-9999.0,142.1863,,,,,,,,,
162,00:00 13/11/2019,0.0,-9999.0,-9999.0,181.9937,148.8636,-9999.0,-9999.0,-9999.0,130.8449,,,,,,,,,
163,02:00 13/11/2019,0.0,-9999.0,-9999.0,142.7044,116.8907,-9999.0,-9999.0,-9999.0,100.8136,,,,,,,,,
164,03:00 13/11/2019,0.0,-9999.0,-9999.0,166.4072,136.7007,-9999.0,-9999.0,-9999.0,118.6142,,,,,,,,,
165,04:00 13/11/2019,0.0,-9999.0,-9999.0,155.8867,127.2832,-9999.0,-9999.0,-9999.0,109.9041,,,,,,,,,
166,05:00 13/11/2019,0.0,-9999.0,-9999.0,168.0478,138.4561,-9999.0,-9999.0,-9999.0,118.5573,,,,,,,,,
167,06:00 13/11/2019,0.0,-9999.0,-9999.0,149.2226,123.0955,-9999.0,-9999.0,-9999.0,105.3266,,,,,,,,,
168,07:00 13/11/2019,0.0,-9999.0,-9999.0,138.0688,112.4646,-9999.0,-9999.0,-9999.0,98.4394,,,,,,,,,
169,08:00 13/11/2019,0.0,-9999.0,-9999.0,93.2968,74.8782,-9999.0,-9999.0,-9999.0,67.2122,,,,,,,,,
170,09:00 13/11/2019,0.0,-9999.0,-9999.0,202.4356,149.2727,-9999.0,-9999.0,-9999.0,129.8169,,,,,,,,,
171,10:00 13/11/2019,0.0,-9999.0,-9999.0,301.5478,247.5293,-9999.0,-9999.0,-9999.0,216.1347,,,,,,,,,
