STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa},InnerTemp(oC},,,,,
10456,20:00 05/04/2025,30.7433,7.7392,3.7471,101.685,57.1283,14.8733,15.9383,4908.2492,1012.625,28.4542,,,,,
10457,21:00 05/04/2025,26.56,7.3058,2.6367,136.995,72.8317,12.3792,14.1817,4014.7067,1013.65,28.53,,,,,
10458,22:00 05/04/2025,20.8558,6.2675,2.3517,148.5825,74.7667,8.0317,12.8225,3226.315,1014.2275,26.9533,,,,,
10459,23:00 05/04/2025,10.4642,5.0842,2.755,101.7292,53.8858,0.2342,10.6158,2869.9533,1013.4833,25.4842,,,,,
10460,00:00 06/04/2025,11.0067,4.6933,3.7291,73.4292,37.875,0.4558,11.1917,3086.1233,1013.1667,25.8492,,,,,
10461,01:00 06/04/2025,23.0625,6.2925,2.206,67.7158,40.0142,9.8975,13.165,3437.945,1013.7675,27.8983,,,,,
10462,02:00 06/04/2025,21.1758,6.2542,2.6738,80.4775,53.2242,9.8075,11.3675,3016.1467,1013.5567,28.4008,,,,,
10463,03:00 06/04/2025,4.43,5.5823,2.5858,67.11,50.4692,0.3023,4.1269,2111.56,1013.1115,28.5631,,,,,
10464,04:00 06/04/2025,3.3333,4.9292,9.8175,65.4467,48.6675,0.0283,3.7875,2010.3525,1013.0908,26.6925,,,,,
10465,05:00 06/04/2025,7.1433,4.82,12.8942,55.435,45.0467,0.1867,7.68,2495.9042,1013.1192,25.7933,,,,,
10466,06:00 06/04/2025,22.23,5.3483,5.3636,73.3733,48.4633,8.9317,13.5592,3420.4992,1013.3817,26.035,,,,,
10467,07:00 06/04/2025,25.7858,6.3733,2.9533,75.8708,52.7742,10.3492,15.4358,3759.1217,1014.1275,27.84,,,,,
10468,08:00 06/04/2025,23.19,6.5292,3.2575,75.3133,57.1533,8.155,15.0342,3959.5967,1014.8267,28.4175,,,,,
10469,09:00 06/04/2025,20.5833,7.0592,2.6655,111.1517,64.8442,5.5625,15.0208,4032.6892,1015.4575,28.5517,,,,,
10470,10:00 06/04/2025,14.7233,6.2875,5.1673,141.2658,64.59,2.4183,12.305,3039.5883,1015.4242,26.695,,,,,
10471,11:00 06/04/2025,12.7817,5.8425,13.4392,119.2,60.47,1.9733,10.8367,2781.18,1014.9425,25.49,,,,,
10472,12:00 06/04/2025,9.855,5.6708,32.5083,116.3317,57.4792,0.4992,9.5967,2558.0783,1014.3933,25.3108,,,,,
10473,13:00 06/04/2025,8.26,6.2958,22.0517,117.4342,59.6375,0.0383,9.0433,2377.8758,1013.8308,27.7967,,,,,
10474,14:00 06/04/2025,8.21,6.5908,18.6783,126.5033,76.5225,0.6233,8.6783,2339.4308,1013.0425,28.32,,,,,
10475,15:00 06/04/2025,5.0292,6.1083,19.7733,108.8942,74.0533,0.1242,6.1092,2259.5108,1012.3058,28.5158,,,,,
10476,16:00 06/04/2025,4.2075,5.2575,25.0325,76.9442,50.6042,0.0,5.24,2348.0167,1011.8433,26.8933,,,,,
10477,17:00 06/04/2025,3.9075,4.8258,29.6658,54.6483,34.0092,0.0,5.1858,2198.4133,1011.7717,25.3517,,,,,
10478,18:00 06/04/2025,5.6925,5.1425,17.65,49.4717,25.8467,0.2542,6.5817,2547.9242,1012.1625,25.6142,,,,,
10479,19:00 06/04/2025,9.8233,5.5467,5.7425,51.9825,25.035,0.9975,9.4983,2490.1025,1012.5042,27.9325,,,,,
10480,20:00 06/04/2025,11.5725,5.1392,6.035,57.0975,30.5933,2.3183,9.7917,2600.3067,1013.34,28.3475,,,,,
10481,21:00 06/04/2025,14.2258,6.0642,2.7233,63.5042,33.1408,3.6283,10.8017,3135.7842,1013.9742,28.4867,,,,,
10482,22:00 06/04/2025,14.6258,6.2833,4.1109,82.0925,42.8333,3.5892,11.0367,2996.2017,1014.68,27.1167,,,,,
10483,23:00 06/04/2025,11.2808,5.1108,7.66,74.7442,37.5667,0.9967,10.42,2303.0217,1014.8133,25.5458,,,,,
10484,00:00 07/04/2025,12.2975,4.9625,4.8758,55.395,22.1042,1.1083,11.3358,2101.2883,1014.4642,25.7292,,,,,
10485,01:00 07/04/2025,11.0592,4.8158,4.81,47.0883,21.4733,0.6967,10.7425,1958.7083,1014.2167,27.4975,,,,,
10486,02:00 07/04/2025,9.2508,5.6533,6.9675,49.5617,26.525,1.0475,8.8567,1911.12,1014.1917,28.3358,,,,,
10487,03:00 07/04/2025,6.2933,6.0008,11.5233,54.0567,25.3125,0.0942,7.1142,1848.9525,1014.0708,28.4442,,,,,
10488,04:00 07/04/2025,5.9758,5.1667,23.3525,46.8225,29.8742,0.025,7.1275,1828.77,1014.0033,26.3758,,,,,
10489,05:00 07/04/2025,8.5525,4.2375,18.8142,42.0158,24.0867,0.015,9.435,1903.8675,1013.8033,25.5275,,,,,
10490,06:00 07/04/2025,12.1417,4.6683,9.1267,62.3842,29.885,2.035,10.5442,2453.2217,1013.98,25.7133,,,,,
10491,07:00 07/04/2025,9.0783,5.0658,7.51,84.745,34.645,1.1308,8.8042,2550.885,1014.5383,27.5675,,,,,
10492,08:00 07/04/2025,9.1667,5.8075,7.2267,90.605,45.1108,1.1075,8.8608,2876.0092,1015.9017,28.3708,,,,,
10493,09:00 07/04/2025,10.1267,5.5917,4.0275,76.9575,47.0158,0.685,10.1192,2899.515,1016.6867,28.5775,,,,,
10494,10:00 07/04/2025,15.0642,5.9992,4.6155,81.4258,54.7708,4.3158,10.7658,3654.4067,1016.9633,26.8292,,,,,
10495,11:00 07/04/2025,13.2542,4.79,6.5925,66.2025,48.7892,2.8842,10.4125,3185.5883,1016.6483,25.4467,,,,,
10496,12:00 07/04/2025,9.0817,4.6633,8.985,77.095,46.5808,1.15,8.2917,2827.8383,1015.7425,25.5925,,,,,
10497,13:00 07/04/2025,8.0725,5.4558,12.9875,98.935,54.6883,0.7225,8.1292,2835.5717,1014.7817,27.8375,,,,,
10498,14:00 07/04/2025,4.7542,6.1608,20.385,102.64,65.7008,0.0,6.035,2483.09,1013.8425,28.3092,,,,,
10499,15:00 07/04/2025,6.6758,6.2533,20.1533,104.1108,73.1583,0.2117,7.4808,2697.6583,1013.0375,28.3933,,,,,
10500,16:00 07/04/2025,3.5567,5.4083,37.1375,112.6767,77.2617,0.0,4.9692,2660.6892,1012.4117,26.8925,,,,,
10501,17:00 07/04/2025,5.2167,5.6117,42.0942,101.0025,69.6667,0.0,6.5233,2580.9575,1012.1092,25.6533,,,,,
10502,18:00 07/04/2025,7.8692,5.5175,21.925,103.1933,63.6342,0.035,8.61,2970.4892,1012.59,25.8283,,,,,
10503,19:00 07/04/2025,13.215,6.225,13.4575,97.3425,61.015,1.7567,11.4625,3294.28,1013.3458,27.8942,,,,,
10504,20:00 07/04/2025,13.7242,6.0575,7.3975,108.9292,66.5875,2.4275,11.2992,3139.3975,1014.1175,28.4775,,,,,
10505,21:00 07/04/2025,13.1158,5.8333,5.0267,99.6708,60.095,1.4133,11.7325,2731.2367,1014.8258,28.4575,,,,,
