No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Áp su?t khí quy?n(hPa},InnerTemp(oC},,,,,
1585,22:00 08/03/2024,11.22,3.3842,19.9592,202.1667,124.8617,3.2625,7.9575,2981.2583,1016.5817,28.2367,,,,,
1586,23:00 08/03/2024,10.0133,3.3608,19.9425,171.315,96.6183,3.3042,6.7125,2849.99,1016.6833,27.8083,,,,,
1587,00:00 09/03/2024,9.4192,3.1825,18.8642,152.4667,94.5817,3.3192,6.1017,2822.5642,1016.4433,27.5317,,,,,
1588,01:00 09/03/2024,10.3792,3.3192,14.2183,139.0708,88.6483,3.4283,6.9492,2837.9675,1016.2508,27.5467,,,,,
1589,02:00 09/03/2024,11.1483,3.7892,12.13,128.4775,82.4833,3.4692,7.6783,2839.0042,1015.895,27.4917,,,,,
1590,03:00 09/03/2024,12.19,4.5117,10.3092,133.57,88.9208,3.405,8.785,2806.8083,1015.4725,28.1308,,,,,
1591,04:00 09/03/2024,13.44,4.9767,9.5275,138.8233,89.3433,3.3583,10.0817,2821.3458,1015.1533,28.2683,,,,,
1592,05:00 09/03/2024,15.1425,5.65,6.2425,136.25,89.5825,3.5833,11.5575,2874.865,1015.0925,28.2733,,,,,
1593,06:00 09/03/2024,17.4008,6.7308,5.8233,119.1117,84.3433,4.14,13.26,2977.8142,1015.5533,28.2675,,,,,
1594,07:00 09/03/2024,14.2417,4.8758,8.82,110.255,69.7483,3.6933,10.5483,3028.7067,1016.1142,27.9617,,,,,
1595,08:00 09/03/2024,11.3542,3.6067,15.48,108.8717,59.8458,3.9475,7.4092,3162.6575,1016.6933,27.6375,,,,,
1596,09:00 09/03/2024,10.3742,2.2267,15.4358,124.9192,83.4942,3.7225,6.6517,2517.0725,1017.4717,27.5525,,,,,
1597,10:00 09/03/2024,12.255,2.7975,11.9767,144.1042,91.0233,4.48,7.7742,3066.6592,1018.28,27.5317,,,,,
1598,11:00 09/03/2024,14.0575,2.6017,15.1925,132.1758,84.5033,4.4817,9.5758,3045.21,1018.0475,28.1667,,,,,
1599,12:00 09/03/2024,15.9308,2.5783,13.2058,102.91,82.4258,5.0833,10.8475,3172.3383,1017.1808,28.1983,,,,,
1600,13:00 09/03/2024,14.9483,2.42,17.0258,97.0383,82.0792,4.5692,10.3817,3088.375,1016.1667,28.2283,,,,,
1601,14:00 09/03/2024,12.76,2.3483,18.7208,108.5008,79.6917,4.0383,8.7217,3014.3475,1014.9208,28.2217,,,,,
1602,15:00 09/03/2024,12.8467,2.2158,18.1117,120.3208,87.1942,4.2308,8.6158,3076.5108,1014.1458,27.7725,,,,,
1603,16:00 09/03/2024,11.24,2.2675,19.0925,124.7042,92.0492,3.9475,7.2908,3055.2142,1013.8425,27.4075,,,,,
1604,17:00 09/03/2024,13.63,2.4408,13.9442,118.99,90.8333,4.79,8.8392,2960.18,1013.8958,27.4542,,,,,
1605,18:00 09/03/2024,17.3433,4.1708,10.1575,113.0292,86.2725,4.5958,12.7467,3248.1008,1014.2533,27.47,,,,,
1606,19:00 09/03/2024,17.84,4.4883,6.68,109.7817,78.0617,4.7783,13.0592,3259.4325,1014.665,28.13,,,,,
1607,20:00 09/03/2024,19.105,5.2583,5.2308,107.3092,71.4867,5.305,13.7983,3224.2575,1015.4317,28.23,,,,,
1608,21:00 09/03/2024,15.5758,4.9067,5.565,109.0833,67.2033,4.4275,11.1517,3175.4433,1016.165,28.235,,,,,
1609,22:00 09/03/2024,14.0458,4.845,6.0517,110.605,59.1933,4.6117,9.4333,3181.94,1016.7892,28.2283,,,,,
1610,23:00 09/03/2024,10.2367,3.305,7.2808,115.5267,62.125,3.5883,6.6492,3059.35,1017.0475,27.955,,,,,
1611,00:00 10/03/2024,9.63,3.0867,8.7767,93.9642,59.6783,3.8592,5.7717,3020.09,1016.8858,27.7092,,,,,
