STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa}
703,06:00 30/01/2024,30.4242,0.5008,24.4992,122.0875,101.9258,3.4533,26.9692,2679.3658,1018.4583
704,07:00 30/01/2024,49.1492,0.5433,22.6667,120.6842,107.0567,18.5542,30.5958,3091.1692,1019.0333
705,08:00 30/01/2024,41.7664,0.7064,21.9809,117.39,106.2436,15.54,26.2455,3701.7245,1019.5109
706,09:00 30/01/2024,57.5083,1.5367,21.67,108.5892,96.4067,26.7092,30.8025,4430.08,1019.975
707,10:00 30/01/2024,42.4458,1.1492,22.4483,108.6175,85.5525,12.5267,29.9175,3514.9217,1020.3117
708,11:00 30/01/2024,45.4767,1.2875,24.2942,102.5767,84.2858,12.0033,33.4725,3675.6658,1019.9092
709,12:00 30/01/2024,57.9758,1.72,27.1675,102.5692,86.9108,21.4242,36.5508,4158.435,1018.7692
710,13:00 30/01/2024,52.5533,1.6358,38.2333,109.2975,90.3717,15.9775,36.58,3967.3992,1017.4058
711,14:00 30/01/2024,71.6458,1.94,45.8817,126.26,101.125,15.2425,56.4033,4824.9058,1016.5708
712,15:00 30/01/2024,83.325,2.2075,52.0983,150.4925,116.6775,21.485,61.8425,5358.9542,1015.5233
713,16:00 30/01/2024,55.985,1.6567,62.5675,163.6558,130.6275,7.135,48.8492,3908.7175,1015.3242
714,17:00 30/01/2024,61.5742,1.9983,56.4042,166.2033,137.165,7.5217,54.05,4223.5067,1015.4108
715,18:00 30/01/2024,79.8875,2.2992,33.6258,173.1017,146.1983,13.875,66.0117,5461.91,1015.745
716,19:00 30/01/2024,70.8736,2.1318,29.1527,182.7455,154.7973,12.0318,58.8409,4809.8509,1016.1145
717,20:00 30/01/2024,59.0458,2.0625,22.3025,174.8708,149.5842,9.0167,50.03,3863.0492,1016.6417
718,21:00 30/01/2024,62.5867,2.0592,25.075,195.0075,167.2892,14.9467,47.6392,4348.7567,1017.36
719,22:00 30/01/2024,63.7533,2.3917,25.8333,196.1,165.7033,16.0808,47.6717,3930.92,1017.4917
720,23:00 30/01/2024,51.0317,1.8308,29.8958,195.4633,157.9233,10.5058,40.5267,3663.7417,1017.3867
721,00:00 31/01/2024,60.532,2.089,26.632,198.036,162.136,17.146,43.387,3714.446,1016.866
722,01:00 31/01/2024,56.6317,2.4525,23.7833,203.8067,164.835,19.7533,36.8783,3789.6367,1016.5217
723,02:00 31/01/2024,58.2,2.6667,23.2817,202.96,163.555,19.9242,38.2767,3564.1008,1016.315
724,03:00 31/01/2024,55.7792,1.97,22.1875,193.1825,155.0642,18.72,37.0575,3297.3725,1015.9133
725,04:00 31/01/2024,45.5608,1.4458,23.225,180.0117,149.3167,9.4508,36.1092,2558.5883,1015.705
726,05:00 31/01/2024,57.8517,0.8408,24.1775,168.1708,147.4292,25.0858,32.7633,3269.4792,1015.6508
727,06:00 31/01/2024,44.71,0.7255,27.2009,162.8045,145.4909,17.8264,26.8836,3164.8427,1015.9845
